ORI,PUB_AGENCY_NAME,AGENCY_TYPE_NAME,STATE_ABBR
KS0230100,Lawrence,City,KS
KS0230200,University of Kansas:,University or College,KS
KS0230300,Baldwin City,City,KS
KS0230400,Eudora,City,KS
KS0240000,Edwards,County,KS
KS0260000,Ellis,County,KS
KS0260100,Hays,City,KS
KS0260400,Fort Hays State University,University or College,KS
KS0270100,Ellsworth,City,KS
KS0280000,Finney,County,KS
KS0280100,Garden City,City,KS
KS0290000,Ford,County,KS
KS0290100,Dodge City,City,KS
KS0300000,Franklin,County,KS
KS0300100,Ottawa,City,KS
KS0300200,Wellsville,City,KS
KS0310100,Junction City,City,KS
KS0310200,Grandview Plaza,City,KS
KS0330100,Hill City,City,KS
KS0340100,Ulysses,City,KS
KS0350000,Gray,County,KS
KS0360000,Greeley,County,KS
KS0370000,Greenwood,County,KS
KS0380000,Hamilton,County,KS
KS0400000,Harvey,County,KS
KS0400100,Newton,City,KS
KS0400200,Hesston,City,KS
KS0400400,Sedgwick,City,KS
KS0410000,Haskell,County,KS
KS0430000,Jackson,County,KS
KS0430100,Holton,City,KS
KS0440000,Jefferson,County,KS
KS0440200,Valley Falls,City,KS
KS0460000,Johnson,County,KS
KS0460200,Leawood,City,KS
KS0460300,Merriam,City,KS
KS0460400,Mission,City,KS
KS0460500,Olathe,City,KS
KS0460600,Overland Park,City,KS
KS0460700,Prairie Village,City,KS
KS0460900,Shawnee,City,KS
KS0461000,Lenexa,City,KS
KS0461100,Westwood,City,KS
KS0461200,Gardner,City,KS
KS0461700,Spring Hill,City,KS
KS0462000,Johnson County Park,Other,KS
KS0462600,Blue Valley School District,Other,KS
KS0470000,Kearny,County,KS
KS0480100,Kingman,City,KS
KS0500000,Labette,County,KS
KS0500100,Parsons,City,KS
KS0500200,Oswego,City,KS
KS0500300,Chetopa,City,KS
KS0520000,Leavenworth,County,KS
KS0520100,Leavenworth,City,KS
KS0520200,Tonganoxie,City,KS
KS0520300,Lansing,City,KS
KS0520500,Basehor,City,KS
KS0530000,Lincoln,County,KS
KS0540000,Linn,County,KS
KS0550100,Oakley,City,KS
KS0560000,Lyon,County,KS
KS0560100,Emporia,City,KS
KS0560200,Emporia State University,University or College,KS
KS0570000,McPherson,County,KS
KS0570100,McPherson,City,KS
KS0570200,Lindsborg,City,KS
KS0570400,Moundridge,City,KS
KS0580100,Hillsboro,City,KS
KS0590000,Marshall,County,KS
KS0590100,Marysville,City,KS
KS0600100,Meade,City,KS
KS0610000,Miami,County,KS
KS0610100,Paola,City,KS
KS0610200,Osawatomie,City,KS
KS0610300,Louisburg,City,KS
KS0620100,Beloit,City,KS
KS0630000,Montgomery,County,KS
KS0630100,Coffeyville,City,KS
KS0630200,Independence,City,KS
KS0630300,Cherryvale,City,KS
KS0640000,Morris,County,KS
KS0640100,Council Grove,City,KS
KS0650000,Morton,County,KS
KS0660000,Nemaha,County,KS
KS0660100,Sabetha,City,KS
KS0660200,Seneca,City,KS
KS0670100,Chanute,City,KS
KS0690100,Norton,City,KS
KS0700000,Osage,County,KS
KS0700100,Osage City,City,KS
KS0700600,Scranton,City,KS
KS0720000,Ottawa,County,KS
KS0730100,Larned,City,KS
KS0750000,Pottawatomie,County,KS
KS0750100,St. Marys,City,KS
KS0750200,Wamego,City,KS
KS0760000,Pratt,County,KS
KS0760100,Pratt,City,KS
KS0760200,Kansas Department of Wildlife and Parks,Other State Agency,KS
KS0780000,Reno,County,KS
KS0780100,Hutchinson,City,KS
KS0780300,Haven,City,KS
KS0780400,Nickerson,City,KS
KS0790000,Republic,County,KS
KS0790100,Belleville,City,KS
KS0800100,Lyons,City,KS
KS0800200,Sterling,City,KS
KS0810000,Riley County Police Department,County,KS
KS0810200,Kansas State University,University or College,KS
KS0830000,Rush,County,KS
KS0840100,Russell,City,KS
KS0850000,Saline,County,KS
KS0850100,Salina,City,KS
KS0870000,Sedgwick,County,KS
KS0870100,Derby,City,KS
KS0870200,Haysville,City,KS
KS0870300,Wichita,City,KS
KS0870500,Valley Center,City,KS
KS0870600,Wichita State University,University or College,KS
KS0870900,Cheney,City,KS
KS0871100,Goddard,City,KS
KS0871500,Maize,City,KS
KS0871600,Park City,City,KS
KS0871800,Bel Aire,City,KS
KS0872300,Unified School District:,Other,KS
KS0872400,Unified School District:,Other,KS
KS0880000,Seward,County,KS
KS0880100,Liberal,City,KS
KS0890000,Shawnee,County,KS
KS0890100,Topeka,City,KS
KS0890600,Metropolitan Topeka Airport Authority,Other,KS
KS0891800,Washburn University,University or College,KS
KS0892000,Unified School District:,Other,KS
KS0910100,Goodland,City,KS
KS0950000,Stevens,County,KS
KS0960000,Sumner,County,KS
KS0960100,Wellington,City,KS
KS0960300,Mulvane,City,KS
KS0970000,Thomas,County,KS
KS0970100,Colby,City,KS
KS0990000,Wabaunsee,County,KS
KS1020000,Wichita,County,KS
KS1040000,Woodson,County,KS
KS1050000,Wyandotte,County,KS
KS1050100,Bonner Springs,City,KS
KS1050200,Kansas City,City,KS
KS1050300,Edwardsville,City,KS
KS1050400,University of Kansas:,University or College,KS
KS1050500,Wyandotte County Parks and Recreation,Other,KS
KS1050700,Kansas City Kansas Community College,University or College,KS
KSDI00200,Potawatomi Tribal,Tribal,KS
KSKBI0000,Kansas Bureau of Investigation,Other State Agency,KS
KSKHP0000,Highway Patrol:,State Police,KS
KSKHP0100,Highway Patrol:,State Police,KS
KSKHP0200,Highway Patrol:,State Police,KS
KSKHP0600,Highway Patrol:,State Police,KS
KY0010000,Adair,County,KY
KY0010100,Columbia,City,KY
KY001SP00,State Police:,State Police,KY
KY0020000,Allen,County,KY
KY0020100,Scottsville,City,KY
KY002SP00,State Police:,State Police,KY
KY0030000,Anderson,County,KY
KY0030100,Lawrenceburg,City,KY
KY0040000,Ballard,County,KY
KY0040300,La Center,City,KY
KY0050100,Glasgow,City,KY
KY0050200,Cave City,City,KY
KY0051100,Barren County Drug Task Force,Other,KY
KY0060100,Owingsville,City,KY
KY0070000,Bell,County,KY
KY0070100,Middlesboro,City,KY
KY0080000,Boone,County,KY
KY0080100,Boone County Police Department,County,KY
KY0080200,Florence,City,KY
KY0080300,Walton,City,KY
KY0080500,Cincinnati-Northern Kentucky International Airport,Other,KY
KY0090000,Bourbon,County,KY
KY0090100,Paris,City,KY
KY0090200,Millersburg,City,KY
KY0100000,Boyd,County,KY
KY0100100,Ashland,City,KY
KY0100300,Boyd County Police Department,County,KY
KY0110000,Boyle,County,KY
KY0110100,Danville,City,KY
KY0120000,Bracken,County,KY
KY0120100,Augusta,City,KY
KY0130000,Breathitt,County,KY
KY0140000,Breckinridge,County,KY
KY0140100,Hardinsburg,City,KY
KY0140200,Cloverport,City,KY
KY0150000,Bullitt,County,KY
KY0150100,Shepherdsville,City,KY
KY0150300,Mount Washington,City,KY
KY0150500,Hillview,City,KY
KY0160100,Morgantown,City,KY
KY0170000,Caldwell,County,KY
KY0170100,Princeton,City,KY
KY0180000,Calloway,County,KY
KY0180100,Murray,City,KY
KY0180200,Murray State University,University or College,KY
KY0190100,Bellevue,City,KY
KY0190200,Campbell County Police Department,County,KY
KY0190300,Dayton,City,KY
KY0190400,Fort Thomas,City,KY
KY0190500,Highland Heights ,City,KY
KY0190600,Newport,City,KY
KY0190700,Alexandria,City,KY
KY0190900,Cold Spring,City,KY
KY0191000,Silver Grove,City,KY
KY0191200,Wilder,City,KY
KY0191500,Northern Kentucky University,University or College,KY
KY0210100,Carrollton,City,KY
KY0220100,Grayson,City,KY
KY022SP00,State Police:,State Police,KY
KY0240000,Christian,County,KY
KY0240100,Hopkinsville,City,KY
KY0240200,Crofton,City,KY
KY0240300,Pembroke,City,KY
KY0240500,Oak Grove,City,KY
KY0240600,Pennyrile Narcotics Task Force,Other,KY
KY0250000,Clark,County,KY
KY0250100,Winchester,City,KY
KY0250400,Clark County School System,Other,KY
KY0260000,Clay,County,KY
KY0260100,Manchester,City,KY
KY0270100,Albany,City,KY
KY0280100,Marion,City,KY
KY028SP00,State Police:,State Police,KY
KY0290100,Burkesville,City,KY
KY0300000,Daviess,County,KY
KY0300100,Owensboro,City,KY
KY0310100,Brownsville,City,KY
KY031SP00,State Police:,State Police,KY
KY0330100,Irvine,City,KY
KY0330200,Ravenna,City,KY
KY0340200,Lexington,City,KY
KY0340300,University of Kentucky,University or College,KY
KY0340400,Fayette County Schools,Other,KY
KY0340800,Kentucky Horse Park,Other State Agency,KY
KY0350000,Fleming,County,KY
KY0350100,Flemingsburg,City,KY
KY0360000,Floyd,County,KY
KY0360100,Prestonsburg,City,KY
KY036SP00,State Police:,State Police,KY
KY0370000,Franklin,County,KY
KY0370100,Frankfort,City,KY
KY0370300,Park Security,Other State Agency,KY
KY037035Y,Department of Insurance Fraud Unit,Other State Agency,KY
KY0370500,Kentucky State University,University or College,KY
KY037SP00,State Police:,State Police,KY
KY0380000,Fulton,County,KY
KY0380100,Fulton,City,KY
KY0390000,Gallatin,County,KY
KY0400100,Lancaster,City,KY
KY0400800,Garrard County Police Department,County,KY
KY0410000,Grant,County,KY
KY0410100,Williamstown,City,KY
KY041SP00,State Police:,State Police,KY
KY0420000,Graves,County,KY
KY0420100,Mayfield,City,KY
KY0430000,Grayson,County,KY
KY0430100,Leitchfield,City,KY
KY0440100,Greensburg,City,KY
KY0450000,Greenup,County,KY
KY0450100,Flatwoods,City,KY
KY0450300,Raceland,City,KY
KY0450600,Worthington,City,KY
KY046SP00,State Police:,State Police,KY
KY0470000,Hardin,County,KY
KY0470100,Elizabethtown,City,KY
KY0470200,Radcliff,City,KY
KY0470300,Vine Grove,City,KY
KY0470400,West Point,City,KY
KY0471500,Greater Hardin County Narcotics Task Force,Other,KY
KY0480000,Harlan,County,KY
KY0480300,Loyall,City,KY
KY0490000,Harrison,County,KY
KY0490100,Cynthiana,City,KY
KY0500000,Hart,County,KY
KY0500100,Horse Cave,City,KY
KY0510000,Henderson,County,KY
KY0510100,Henderson,City,KY
KY051SP00,State Police:,State Police,KY
KY0520200,Eminence,City,KY
KY0540000,Hopkins,County,KY
KY0540100,Madisonville,City,KY
KY0540200,Dawson Springs,City,KY
KY0540500,Nortonville,City,KY
KY054SP00,State Police:,State Police,KY
KY0550000,Jackson,County,KY
KY0560000,Jefferson,County,KY
KY0560100,Jefferson County Police Department,County,KY
KY0560200,Louisville,City,KY
KY0560300,St. Matthews,City,KY
KY0560400,Shively,City,KY
KY0560500,Anchorage,City,KY
KY0560600,West Buechel,City,KY
KY0561000,Jeffersontown,City,KY
KY0561200,Lynnview,City,KY
KY0561500,University of Louisville,University or College,KY
KY0561900,Audubon Park,City,KY
KY0562300,Meadow Vale,City,KY
KY0563800,Northfield,City,KY
KY0564400,Indian Hills,City,KY
KY0565000,Graymoor-Devondale,City,KY
KY0565200,Jefferson County School District,Other,KY
KY0568000,Louisville Metro,City,KY
KY0570000,Jessamine,County,KY
KY0570100,Nicholasville,City,KY
KY0570200,Wilmore,City,KY
KY0580000,Johnson,County,KY
KY058SP00,State Police:,State Police,KY
KY0590000,Kenton,County,KY
KY0590100,Covington,City,KY
KY0590200,Elsmere,City,KY
KY0590300,Erlanger,City,KY
KY0590500,Kenton County Police Department,County,KY
KY0590600,Park Hills,City,KY
KY0590700,Ludlow,City,KY
KY0591000,Lakeside Park-Crestview Hills,City,KY
KY0591100,Taylor Mill,City,KY
KY0591200,Villa Hills,City,KY
KY0591300,Fort Mitchell,City,KY
KY0591700,Edgewood,City,KY
KY0591900,Independence,City,KY
KY0592600,Northern Kentucky Drug Strike Force,Other,KY
KY0600000,Knott,County,KY
KY0610000,Knox,County,KY
KY0610100,Barbourville,City,KY
KY0620000,Larue,County,KY
KY0620100,Hodgenville,City,KY
KY0630000,Laurel,County,KY
KY0630100,London,City,KY
KY0630700,Laurel County Constable District 1,Other,KY
KY0640000,Lawrence,County,KY
KY0640100,Louisa,City,KY
KY0650000,Lee,County,KY
KY0670000,Letcher,County,KY
KY0670100,Whitesburg,City,KY
KY067SP00,State Police:,State Police,KY
KY0680000,Lewis,County,KY
KY0680100,Vanceburg,City,KY
KY0690000,Lincoln,County,KY
KY0690100,Stanford,City,KY
KY069SP00,State Police:,State Police,KY
KY0700000,Livingston,County,KY
KY0710000,Logan,County,KY
KY0710100,Russellville,City,KY
KY0710400,Lewisburg,City,KY
KY0710900,South Central Kentucky Drug Task Force,Other,KY
KY0720000,Lyon,County,KY
KY0720200,Eddyville,City,KY
KY072SP00,State Police:,State Police,KY
KY0730000,McCracken,County,KY
KY0730100,Paducah,City,KY
KY0730300,Lone Oak,City,KY
KY0730700,McCracken County Public Schools,Other,KY
KY0740000,McCreary,County,KY
KY075SP00,State Police:,State Police,KY
KY0760000,Madison,County,KY
KY0760100,Berea,City,KY
KY0760200,Richmond,City,KY
KY0760300,Eastern Kentucky University,University or College,KY
KY076SP00,State Police:,State Police,KY
KY0780000,Marion,County,KY
KY0780100,Lebanon,City,KY
KY0790000,Marshall,County,KY
KY0790100,Benton,City,KY
KY0790200,Calvert City,City,KY
KY079SP00,State Police:,State Police,KY
KY0800000,Martin,County,KY
KY0810000,Mason,County,KY
KY0810100,Maysville,City,KY
KY081SP00,State Police:,State Police,KY
KY0820000,Meade,County,KY
KY0820200,Muldraugh,City,KY
KY0830000,Menifee,County,KY
KY0840100,Harrodsburg,City,KY
KY0850100,Edmonton,City,KY
KY0850400,Metcalfe County Schools,Other,KY
KY0860100,Tompkinsville,City,KY
KY0870000,Montgomery,County,KY
KY0870100,Mount Sterling,City,KY
KY0870200,Montgomery County School District,Other,KY
KY0880100,West Liberty,City,KY
KY0890200,Central City,City,KY
KY0890700,Muhlenberg County Police Department,County,KY
KY089SP00,State Police:,State Police,KY
KY0900000,Nelson,County,KY
KY0900100,Bardstown,City,KY
KY0910100,Carlisle,City,KY
KY0920000,Ohio,County,KY
KY0920200,Beaver Dam,City,KY
KY0921100,Ohio County School System,Other,KY
KY092SP00,State Police:,State Police,KY
KY0930000,Oldham,County,KY
KY0930100,La Grange,City,KY
KY0930400,Oldham County Police Department,County,KY
KY093SP00,State Police:,State Police,KY
KY0940000,Owen,County,KY
KY0960000,Pendleton,County,KY
KY0960100,Falmouth,City,KY
KY0970000,Perry,County,KY
KY0970100,Hazard,City,KY
KY0980100,Pikeville,City,KY
KY098SP00,State Police:,State Police,KY
KY0990100,Stanton,City,KY
KY1000000,Pulaski,County,KY
KY1000100,Somerset,City,KY
KY1020000,Rockcastle,County,KY
KY1020200,Mount Vernon,City,KY
KY102SP00,State Police:,State Police,KY
KY1030000,Rowan,County,KY
KY1030100,Morehead,City,KY
KY1030200,Morehead State University,University or College,KY
KY1040100,Jamestown,City,KY
KY1040200,Russell Springs,City,KY
KY1050000,Scott,County,KY
KY1050100,Georgetown,City,KY
KY105SP00,State Police:,State Police,KY
KY1060000,Shelby,County,KY
KY1060100,Shelbyville,City,KY
KY1060900,Simpsonville,City,KY
KY1070000,Simpson,County,KY
KY1070100,Franklin,City,KY
KY1080000,Spencer,County,KY
KY1080100,Taylorsville,City,KY
KY1090000,Taylor,County,KY
KY1090100,Campbellsville,City,KY
KY1100000,Todd,County,KY
KY1100100,Elkton,City,KY
KY1100300,Guthrie,City,KY
KY1110000,Trigg,County,KY
KY1110100,Cadiz,City,KY
KY1120000,Trimble,County,KY
KY1130000,Union,County,KY
KY1130100,Morganfield,City,KY
KY1130300,Uniontown,City,KY
KY113SP00,State Police:,State Police,KY
KY1140000,Warren,County,KY
KY1140100,Bowling Green,City,KY
KY1140200,Western Kentucky University,University or College,KY
KY1150000,Washington,County,KY
KY1150100,Springfield,City,KY
KY1160100,Monticello,City,KY
KY1170000,Webster,County,KY
KY1170200,Providence,City,KY
KY1180000,Whitley,County,KY
KY1180100,Corbin,City,KY
KY1180200,Williamsburg,City,KY
KY1190000,Wolfe,County,KY
KY119SP00,State Police:,State Police,KY
KY1200000,Woodford,County,KY
KY1200100,Versailles,City,KY
KY1200300,Woodford County Police Department,County,KY
KYFBILS00,Federal Bureau of Investigation,Federal,KY
KYKSP0000,State Police:,State Police,KY
KYKSP0100,State Police:,State Police,KY
KYKSP0200,State Police:,State Police,KY
KYKSP0300,State Police:,State Police,KY
KYKSP0400,State Police:,State Police,KY
KYKSP0500,State Police:,State Police,KY
KYKSP0600,State Police:,State Police,KY
KYKSP0700,State Police:,State Police,KY
KYKSP0800,State Police:,State Police,KY
KYKSP0900,State Police:,State Police,KY
KYKSP1000,State Police:,State Police,KY
KYKSP1100,State Police:,State Police,KY
KYKSP1200,State Police:,State Police,KY
KYKSP1300,State Police:,State Police,KY
KYKSP1400,State Police:,State Police,KY
KYKSP1500,State Police:,State Police,KY
KYKSP1600,State Police:,State Police,KY
KYKSP2500,State Police:,State Police,KY
KYKSP3200,State Police:,State Police,KY
LA0010000,Acadia,County,LA
LA0030000,Ascension,County,LA
LA0030200,Gonzales,City,LA
LA0050000,Avoyelles,County,LA
LA0050200,Marksville,City,LA
LA0060000,Beauregard,County,LA
LA0080000,Bossier,County,LA
LA0080100,Bossier City,City,LA
LA0090000,Caddo,County,LA
LA0090100,Shreveport,City,LA
LA0100000,Calcasieu,County,LA
LA0100100,De Quincy,City,LA
LA0100200,Lake Charles,City,LA
LA0100400,Vinton,City,LA
LA0100500,Westlake,City,LA
LA0100800,McNeese State University,University or College,LA
LA0140100,Haynesville,City,LA
LA0150000,Concordia,County,LA
LA0150200,Vidalia,City,LA
LA0170000,East Baton Rouge,County,LA
LA0170100,Baker,City,LA
LA0170200,Baton Rouge,City,LA
LA0170300,Zachary,City,LA
LA0170400,Louisiana State University:,University or College,LA
LA0180000,East Carroll,County,LA
LA0190000,East Feliciana,County,LA
LA0200000,Evangeline,County,LA
LA0200200,Mamou,City,LA
LA0220000,Grant,County,LA
LA0230000,Iberia,County,LA
LA0230200,Jeanerette,City,LA
LA0240200,Plaquemine,City,LA
LA0250000,Jackson,County,LA
LA0260000,Jefferson,County,LA
LA0260100,Gretna,City,LA
LA0260200,Harahan,City,LA
LA0260300,Kenner,City,LA
LA0270000,Jefferson Davis,County,LA
LA0270200,Jennings,City,LA
LA0270300,Lake Arthur,City,LA
LA0280000,Lafayette,County,LA
LA0290000,Lafourche,County,LA
LA0290500,Thibodaux,City,LA
LA0310700,Louisiana Tech University,University or College,LA
LA0320000,Livingston,County,LA
LA0330000,Madison,County,LA
LA0330100,Tallulah,City,LA
LA0340000,Morehouse,County,LA
LA0350000,Natchitoches,County,LA
LA0350100,Natchitoches,City,LA
LA0360300,University of New Orleans,University or College,LA
LA0361200,Southern University and A&M College:,University or College,LA
LA036209E,Tulane University,University or College,LA
LA0370000,Ouachita,County,LA
LA0370100,Monroe,City,LA
LA0370200,West Monroe,City,LA
LA0370300,Sterlington,City,LA
LA0370400,University of Louisiana:,University or College,LA
LA0370900,Tensas Basin Levee District,Other State Agency,LA
LA0400000,Rapides,County,LA
LA0400100,Alexandria,City,LA
LA0400200,Pineville,City,LA
LA0430100,Many,City,LA
LA0450000,St. Charles,County,LA
LA0460000,St. Helena,County,LA
LA0470000,St. James,County,LA
LA0480000,St. John the Baptist,County,LA
LA0510300,Morgan City,City,LA
LA0520000,St. Tammany,County,LA
LA0520100,Covington,City,LA
LA0520200,Slidell,City,LA
LA0520500,Pearl River,City,LA
LA0530200,Kentwood,City,LA
LA0530400,Amite,City,LA
LA0530900,Southeastern Louisiana University,University or College,LA
LA0550000,Terrebonne,County,LA
LA0550100,Houma,City,LA
LA0560100,Farmerville,City,LA
LA0560200,Bernice,City,LA
LA0580100,Leesville,City,LA
LA0590000,Washington,County,LA
LA0590200,Franklinton,City,LA
LA0600000,Webster,County,LA
LA0610000,West Baton Rouge,County,LA
LA0610100,Port Allen,City,LA
LA0630000,West Feliciana,County,LA
LAFBINO00,Federal Bureau of Investigation,Federal,LA
LANPD0000,New Orleans,City,LA
MA0010100,Barnstable,City,MA
MA0010200,Bourne,City,MA
MA0010300,Brewster,City,MA
MA0010400,Chatham,City,MA
MA0010500,Dennis,City,MA
MA0010600,Eastham,City,MA
MA0010700,Falmouth,City,MA
MA0010800,Harwich,City,MA
MA0010900,Mashpee,City,MA
MA0011000,Orleans,City,MA
MA0011100,Provincetown,City,MA
MA0011200,Sandwich,City,MA
MA0011300,Truro,City,MA
MA0011400,Wellfleet,City,MA
MA0011500,Yarmouth,City,MA
MA0020100,Adams,City,MA
MA0020300,Becket,City,MA
MA0020600,Dalton,City,MA
MA0020700,Egremont,City,MA
MA0020900,Great Barrington,City,MA
MA0021100,Hinsdale,City,MA
MA0021300,Lee,City,MA
MA0021400,Lenox,City,MA
MA0021900,North Adams,City,MA
MA0022200,Pittsfield,City,MA
MA0022500,Savoy,City,MA
MA0022700,Stockbridge,City,MA
MA0023100,Williamstown,City,MA
MA0023500,Massachusetts College of Liberal Arts,University or College,MA
MA002SC00,Massachusetts College of Liberal Arts,University or College,MA
MA0030100,Acushnet,City,MA
MA0030200,Attleboro,City,MA
MA0030400,Dartmouth,City,MA
MA0030600,Easton,City,MA
MA0030700,Fairhaven,City,MA
MA0030800,Fall River,City,MA
MA0030900,Freetown,City,MA
MA0031000,Mansfield,City,MA
MA0031100,New Bedford,City,MA
MA0031200,North Attleboro,City,MA
MA0031300,Norton,City,MA
MA0031400,Raynham,City,MA
MA0031500,Rehoboth,City,MA
MA0031600,Seekonk,City,MA
MA0031700,Somerset,City,MA
MA0031900,Taunton,City,MA
MA0032000,Westport,City,MA
MA0032100,University of Massachusetts:,University or College,MA
MA0032300,Bristol Community College,University or College,MA
MA003269E,Wheaton College,University or College,MA
MA0040100,Chilmark,City,MA
MA0040200,Edgartown,City,MA
MA0040500,Oak Bluffs,City,MA
MA0040600,Tisbury,City,MA
MA0040700,West Tisbury,City,MA
MA0050100,Amesbury,City,MA
MA0050200,Andover,City,MA
MA0050300,Beverly,City,MA
MA0050400,Boxford,City,MA
MA0050500,Danvers,City,MA
MA0050800,Gloucester,City,MA
MA0050900,Groveland,City,MA
MA0051000,Hamilton,City,MA
MA0051100,Haverhill,City,MA
MA0051200,Ipswich,City,MA
MA0051300,Lawrence,City,MA
MA0051400,Lynn,City,MA
MA0051500,Lynnfield,City,MA
MA0051600,Manchester-by-the-Sea,City,MA
MA0051700,Marblehead,City,MA
MA0051800,Merrimac,City,MA
MA0051900,Methuen,City,MA
MA0052100,Nahant,City,MA
MA0052200,Newbury,City,MA
MA0052300,Newburyport,City,MA
MA0052400,North Andover,City,MA
MA0052500,Peabody,City,MA
MA0052600,Rockport,City,MA
MA0052700,Rowley,City,MA
MA0052800,Salem,City,MA
MA0052900,Salisbury,City,MA
MA0053000,Saugus,City,MA
MA0053100,Swampscott,City,MA
MA0053200,Topsfield,City,MA
MA0053400,West Newbury,City,MA
MA0053600,Salem State University,University or College,MA
MA005389E,Merrimack College,University or College,MA
MA005429E,Endicott College,University or College,MA
MA005BA00,Massachusetts Bay Transportation Authority:,Other State Agency,MA
MA0060100,Ashfield,City,MA
MA0060200,Bernardston,City,MA
MA0060700,Deerfield,City,MA
MA0060800,Erving,City,MA
MA0060900,Gill,City,MA
MA0061000,Greenfield,City,MA
MA0061600,Montague,City,MA
MA0061800,Northfield,City,MA
MA0061900,Orange,City,MA
MA0062100,Shelburne,City,MA
MA0062300,Sunderland,City,MA
MA0070100,Agawam,City,MA
MA007029E,Western New England University,University or College,MA
MA0070300,Brimfield,City,MA
MA0070500,Chicopee,City,MA
MA0070600,East Longmeadow,City,MA
MA0070800,Hampden,City,MA
MA0070900,Holland,City,MA
MA0071000,Holyoke,City,MA
MA0071100,Longmeadow,City,MA
MA0071200,Ludlow,City,MA
MA0071300,Monson,City,MA
MA0071500,Palmer,City,MA
MA0071700,Southwick,City,MA
MA0071800,Springfield,City,MA
MA0072000,Wales,City,MA
MA0072100,West Springfield,City,MA
MA0072200,Westfield,City,MA
MA0072300,Wilbraham,City,MA
MA0072400,Westfield State University,University or College,MA
MA0073300,Springfield Technical Community College,University or College,MA
MA007SC00,Westfield State College,University or College,MA
MA0080100,Amherst,City,MA
MA0080200,Belchertown,City,MA
MA008049E,Mount Holyoke College,University or College,MA
MA0080500,Easthampton,City,MA
MA0080700,Granby,City,MA
MA0080800,Hadley,City,MA
MA0080900,Hatfield,City,MA
MA0081200,Northampton,City,MA
MA0081500,South Hadley,City,MA
MA0081600,Southampton,City,MA
MA0081700,Ware,City,MA
MA0081900,Williamsburg,City,MA
MA0082200,University of Massachusetts:,University or College,MA
MA008249E,Hampshire College,University or College,MA
MA008269E,Smith College,University or College,MA
MA008289E,Amherst College,University or College,MA
MA0090100,Acton,City,MA
MA0090200,Arlington,City,MA
MA0090300,Ashby,City,MA
MA0090400,Ashland,City,MA
MA0090500,Ayer,City,MA
MA0090600,Bedford,City,MA
MA0090700,Belmont,City,MA
MA0090800,Billerica,City,MA
MA0090900,Boxborough,City,MA
MA0091000,Burlington,City,MA
MA0091100,Cambridge,City,MA
MA0091200,Carlisle,City,MA
MA0091300,Chelmsford,City,MA
MA0091400,Concord,City,MA
MA0091500,Dracut,City,MA
MA0091700,Everett,City,MA
MA0091800,Framingham,City,MA
MA0091900,Groton,City,MA
MA0092000,Holliston,City,MA
MA0092100,Hopkinton,City,MA
MA0092200,Hudson,City,MA
MA0092300,Lexington,City,MA
MA0092400,Lincoln,City,MA
MA0092500,Littleton,City,MA
MA0092600,Lowell,City,MA
MA0092700,Malden,City,MA
MA0092800,Marlborough,City,MA
MA0092900,Maynard,City,MA
MA0093000,Medford,City,MA
MA0093100,Melrose,City,MA
MA0093200,Natick,City,MA
MA0093300,Newton,City,MA
MA0093400,North Reading,City,MA
MA0093500,Pepperell,City,MA
MA0093600,Reading,City,MA
MA0093700,Sherborn,City,MA
MA0093900,Somerville,City,MA
MA0094000,Stoneham,City,MA
MA0094100,Stow,City,MA
MA0094200,Sudbury,City,MA
MA0094300,Tewksbury,City,MA
MA0094400,Townsend,City,MA
MA0094500,Tyngsboro,City,MA
MA0094600,Wakefield,City,MA
MA0094700,Waltham,City,MA
MA0094800,Watertown,City,MA
MA0094900,Wayland,City,MA
MA0095000,Westford,City,MA
MA0095200,Wilmington,City,MA
MA0095300,Winchester,City,MA
MA0095400,Woburn,City,MA
MA009579E,Brandeis University,University or College,MA
MA009589E,Bentley University,University or College,MA
MA0095900,Framingham State University,University or College,MA
MA009619E,Boston College,University or College,MA
MA009629E,Harvard University,University or College,MA
MA00962TZ,Harvard University ,University or College,MA
MA009639E,Massachusetts Institute of Technology,University or College,MA
MA009649E,Tufts University:,University or College,MA
MA009679E,Lasell College,University or College,MA
MA009BA00,Massachusetts Bay Transportation Authority:,Other State Agency,MA
MA009BC00,Boston College,University or College,MA
MA009CL00,Bentley College,University or College,MA
MA009SC00,Framingham State College,University or College,MA
MA009TU00,Tufts University:,University or College,MA
MA009WU00,Brandeis University,University or College,MA
MA0100100,Nantucket,City,MA
MA0110100,Avon,City,MA
MA0110200,Bellingham,City,MA
MA0110300,Braintree,City,MA
MA0110400,Brookline,City,MA
MA0110500,Canton,City,MA
MA0110600,Cohasset,City,MA
MA0110700,Dedham,City,MA
MA0110800,Dover,City,MA
MA0111000,Franklin,City,MA
MA0111100,Holbrook,City,MA
MA0111200,Medfield,City,MA
MA0111300,Medway,City,MA
MA0111400,Millis,City,MA
MA0111500,Milton,City,MA
MA0111600,Needham,City,MA
MA0111700,Norfolk,City,MA
MA0111800,Norwood,City,MA
MA0111900,Plainville,City,MA
MA0112000,Quincy,City,MA
MA0112100,Randolph,City,MA
MA0112200,Sharon,City,MA
MA0112300,Stoughton,City,MA
MA0112400,Walpole,City,MA
MA0112500,Wellesley,City,MA
MA0112600,Westwood,City,MA
MA0112700,Weymouth,City,MA
MA0112800,Wrentham,City,MA
MA011319E,Dean College,University or College,MA
